Caption	CommandLine	CreationClassName	CreationDate	CSCreationClassName	CSName	Description	ExecutablePath	ExecutionState	Handle	HandleCount	InstallDate	KernelModeTime	MaximumWorkingSetSize	MinimumWorkingSetSize	Name	OSCreationClassName	OSName	OtherOperationCount	OtherTransferCount	PageFaults	PageFileUsage	ParentProcessId	PeakPageFileUsage	PeakVirtualSize	PeakWorkingSetSize	Priority	PrivatePageCount	ProcessId	QuotaNonPagedPoolUsage	QuotaPagedPoolUsage	QuotaPeakNonPagedPoolUsage	QuotaPeakPagedPoolUsage	ReadOperationCount	ReadTransferCount	SessionId	Status	TerminationDate	ThreadCount	UserModeTime	VirtualSize	WindowsVersion	WorkingSetSize	WriteOperationCount	WriteTransferCount																																				
svchost.exe	Win32_Process	20201030093144.559968-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1292	1793	1094062500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	48677	3651970	877619	15588	1012	17412	2.20349E+12	21232	8	15962112	1292	20	244	28	351	214	876544	0	11	1728437500	2.20343E+12	10.0.19041	19255296	0	0																																									
svchost.exe	Win32_Process	20201030093144.589095-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1360	357	50312500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	121	2750	10773	3340	1012	3596	2.20341E+12	8960	8	3420160	1360	11	118	12	118	0	0	0	5	31875000	2.2034E+12	10.0.19041	6742016	0	0																																									
WUDFHost.exe	Win32_Process	20201030093144.606685-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WUDFHost.exe	1404	847	1639531250	WUDFHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2790	311663	9314	9172	1012	9452	2.20347E+12	14368	8	9392128	1404	15	210	18	213	769630	104621932	0	11	4168593750	2.20347E+12	10.0.19041	8577024	0	0																																									
dwm.exe	Win32_Process	20201030093144.665334-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	dwm.exe	1512	2375	34083750000	dwm.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	17292	1057495	18101825	198004	1020	276776	2.20417E+12	269180	13	202756096	1512	74	1461	89	1516	1512713	37896901	1	14	93192500000	2.20409E+12	10.0.19041	139464704	0	0																																									
WUDFHost.exe	Win32_Process	20201030093144.692300-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WUDFHost.exe	1556	362	35156250	WUDFHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	30347	5683058	16113	9552	1012	9780	2.20344E+12	21956	13	9781248	1556	17	137	21	143	1535	4801548	0	12	115468750	2.20343E+12	10.0.19041	15888384	34	5608																																									
svchost.exe	Win32_Process	20201030093144.718974-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1644	274	16718750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2996	511326	7076	2160	1012	2600	2.2034E+12	8752	8	2211840	1644	30	87	33	87	0	0	0	3	3125000	2.2034E+12	10.0.19041	7196672	0	0																																									
svchost.exe	Win32_Process	20201030093144.719222-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1652	249	7968750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2363	209859	9693	2288	1012	2776	2.20342E+12	12168	8	2342912	1652	30	109	37	111	0	0	0	3	4687500	2.20341E+12	10.0.19041	11603968	0	0																																									
svchost.exe	Win32_Process	20201030093144.719858-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1668	289	7812500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	3840	427071	10498	3080	1012	3540	2.20341E+12	12220	8	3153920	1668	23	104	25	105	0	0	0	7	10156250	2.20341E+12	10.0.19041	8941568	0	0																																									
svchost.exe	Win32_Process	20201030093144.742073-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1800	250	13125000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2055	175279	7176	2572	1012	2988	2.20341E+12	10604	8	2633728	1800	13	99	17	101	0	0	0	4	17656250	2.2034E+12	10.0.19041	8306688	0	0																																									
svchost.exe	Win32_Process	20201030093144.742529-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1808	157	4375000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	89	1330	9433	2608	1012	2836	2.2034E+12	11840	8	2670592	1808	10	191	10	191	0	0	0	4	11718750	2.2034E+12	10.0.19041	11038720	0	0																																									
svchost.exe	Win32_Process	20201030093144.748693-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1856	439	143437500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	62000	17552844	57295	9008	1012	10004	2.20348E+12	16176	8	9224192	1856	19	397	25	405	17	8032	0	9	93281250	2.20343E+12	10.0.19041	13602816	3195	68959116																																									
svchost.exe	Win32_Process	20201030093144.752235-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1880	200	12968750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	44	974	3004	1724	1012	1748	2.2034E+12	6164	8	1765376	1880	8	59	8	59	0	0	0	3	18906250	2.2034E+12	10.0.19041	4608000	0	0																																									
svchost.exe	Win32_Process	20201030093144.765866-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1992	337	781250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	307	6870	4863	2308	1012	2596	2.2034E+12	8800	8	2363392	1992	10	84	12	91	0	0	0	3	781250	2.20339E+12	10.0.19041	6447104	0	0																																									
svchost.exe	Win32_Process	20201030093144.773695-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2044	238	53750000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	375571	13857416	12635	21412	1012	21824	2.20346E+12	31488	8	21925888	2044	15	155	16	159	45	278528	0	3	7343750	2.20345E+12	10.0.19041	10297344	0	0																																									
svchost.exe	Win32_Process	20201030093144.773746-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1044	193	781250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	101	594	3987	1936	1012	2208	2.20341E+12	9428	8	1982464	1044	11	101	12	101	0	0	0	2	312500	2.20341E+12	10.0.19041	5332992	0	0																																									
svchost.exe	Win32_Process	20201030093144.778967-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	1480	168	1718750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	129	1656	6388	1972	1012	2332	2.2034E+12	8680	8	2019328	1480	12	83	13	86	0	0	0	2	2656250	2.2034E+12	10.0.19041	8019968	0	0																																									
svchost.exe	Win32_Process	20201030093144.783481-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2060	504	83437500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	12219	198990	98127	19620	1012	23200	2.2036E+12	23708	8	20090880	2060	16	89	17	404	6771	248566632	0	11	85781250	2.20343E+12	10.0.19041	13963264	13701	192438912																																									
svchost.exe	Win32_Process	20201030093144.790807-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2096	169	3125000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	540	31194	5561	1900	1012	2048	2.2034E+12	8116	8	1945600	2096	10	72	11	81	264	5392	0	4	625000	2.20339E+12	10.0.19041	5840896	0	0																																									
svchost.exe	Win32_Process	20201030093144.803321-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2200	381	127812500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	128	2800	21238	2844	1012	3228	2.20341E+12	10044	8	2912256	2200	10	85	12	85	0	0	0	5	83593750	2.2034E+12	10.0.19041	8630272	0	0																																									
svchost.exe	Win32_Process	20201030093144.827670-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2364	120	156250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	44	110	3294	1556	1012	1784	2.20339E+12	7308	8	1593344	2364	8	64	9	64	0	0	0	2	781250	2.20339E+12	10.0.19041	4747264	0	0																																									
svchost.exe	Win32_Process	20201030093144.836298-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2416	200	6406250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	532	38974	4916	2044	1012	2360	2.2034E+12	7836	8	2093056	2416	10	74	15	76	0	0	0	4	2656250	2.20339E+12	10.0.19041	5914624	0	0																																									
LITSSvc.exe	Win32_Process	20201030093144.858296-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	LITSSvc.exe	2536	173	4375000	LITSSvc.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	484	3470	3383	1616	1012	1712	4383334400	6588	8	1654784	2536	10	84	10	87	0	0	0	9	1250000	4378091520	10.0.19041	4792320	0	0																																									
ibmpmsvc.exe	Win32_Process	20201030093144.858342-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	ibmpmsvc.exe	2544	168	6875000	ibmpmsvc.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	7771	34004	4872	2064	1012	2144	4390440960	7000	8	2113536	2544	9	91	10	91	19	19	0	10	1562500	4385198080	10.0.19041	5275648	2	831489																																									
svchost.exe	Win32_Process	20201030093144.864766-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2600	180	243437500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	19377	709454	638958	9456	1012	11064	2.20341E+12	13168	8	9682944	2600	42	57	49	57	0	0	0	10	271875000	2.2034E+12	10.0.19041	11034624	0	0																																									
svchost.exe	Win32_Process	20201030093144.871243-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2640	218	243125000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	1279	61530	93792	3232	1012	3892	2.20342E+12	11840	8	3309568	2640	13	107	15	107	0	0	0	5	209375000	2.20341E+12	10.0.19041	10653696	0	0																																									
svchost.exe	Win32_Process	20201030093144.885448-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2704	323	116093750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	13022	1054270	16444	2888	1012	5456	2.20341E+12	7876	8	2957312	2704	10	79	23	80	0	0	0	6	149218750	2.20339E+12	10.0.19041	6164480	0	0																																									
svchost.exe	Win32_Process	20201030093144.888398-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2732	228	424062500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	6827	36036	354872	12816	1012	20808	2.20343E+12	28616	8	13123584	2732	10	88	12	89	48161	195649380	0	4	2287968750	2.20342E+12	10.0.19041	21000192	139	341336																																									
svchost.exe	Win32_Process	20201030093144.889021-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2752	230	12343750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	370	51622	8094	2504	1012	2836	2.20342E+12	11876	8	2564096	2752	13	116	14	118	0	0	0	3	5781250	2.20342E+12	10.0.19041	8114176	0	0																																									
SynTPEnhService.exe	Win32_Process	20201030093144.892363-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	SynTPEnhService.exe	2796	416	156718750	SynTPEnhService.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	42150	2623780	6144	3716	1012	3932	4408995840	10724	8	3805184	2796	13	146	15	160	294	2328	0	8	4062500	4395388928	10.0.19041	6791168	290	2312																																									
svchost.exe	Win32_Process	20201030093144.918406-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2908	195	589375000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	2574	27164	5095	2324	1012	2616	2.2034E+12	8208	8	2379776	2908	11	75	13	75	642407	220982160	0	10	2134843750	2.2034E+12	10.0.19041	6225920	0	0																																									
svchost.exe	Win32_Process	20201030093144.918504-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2916	307	120468750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	193585	76737520	239633	8008	1012	8488	2.20372E+12	13136	8	8200192	2916	21	128	23	130	1809	8356944	0	14	246093750	2.20372E+12	10.0.19041	9805824	321	1745052																																									
dasHost.exe	Win32_Process	20201030093144.930626-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	dasHost.exe	2988	468	44531250	dasHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	54693	3384854	35566	9104	2416	10116	2.20344E+12	19952	8	9322496	2988	21	148	29	150	0	0	0	3	31875000	2.20343E+12	10.0.19041	14102528	31	69571																																									
svchost.exe	Win32_Process	20201030093144.933880-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2996	411	294218750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	343608	23106076	39637	5564	1012	10236	2.20345E+12	13004	8	5697536	2996	18	109	25	128	22	2552	0	9	191562500	2.20343E+12	10.0.19041	11026432	22	3520																																									
svchost.exe	Win32_Process	20201030093144.975842-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	2236	474	257656250	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	239887	17880836	117717	3644	1012	5192	2.20342E+12	9744	8	3731456	2236	13	100	20	101	0	0	0	9	221406250	2.2034E+12	10.0.19041	8585216	0	0																																									
WUDFHost.exe	Win32_Process	20201030093145.026443-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	WUDFHost.exe	3136	216	1250000	WUDFHost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	207	2628	4266	1820	1012	1948	2.20339E+12	6224	8	1863680	3136	8	56	9	57	0	0	0	5	1562500	2.20338E+12	10.0.19041	4370432	0	0																																									
svchost.exe	Win32_Process	20201030093145.190465-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3240	401	31250000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	31	110	10369	1312	1012	1480	2.20339E+12	5956	8	1343488	3240	8	72	8	74	0	0	0	3	15312500	2.20339E+12	10.0.19041	4214784	0	0																																									
svchost.exe	Win32_Process	20201030093145.190464-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3236	224	5946562500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	90337	804894	865836	2960	1012	9824	2.20774E+12	18924	8	3031040	3236	12	105	13	126	23	2366004	0	4	240312500	2.20772E+12	10.0.19041	12091392	4300	57985163																																									
svchost.exe	Win32_Process	20201030093145.191241-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3252	173	1875000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	59	998	6231	1948	1012	2364	2.2034E+12	7908	8	1994752	3252	9	72	11	73	34	714	0	5	1406250	2.2034E+12	10.0.19041	5980160	0	0																																									
Memory	Compression	Win32_Process	20201030093145.209867-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	Memory	Compression	3336	0	7050312500	Memory	Compression	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	0	0	3188981	3008	4	3096	1586102272	1409152	8	3080192	3336	0	5	0	5	0	0	0	94	0	1440481280	10.0.19041	486096896	0	0																																						
svchost.exe	Win32_Process	20201030093145.214023-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3384	222	3750000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	1408	59754	9705	2268	1012	2772	2.20341E+12	9416	8	2322432	3384	15	86	17	89	3240	65160	0	2	4375000	2.2034E+12	10.0.19041	7512064	0	0																																									
igfxCUIService.exe	Win32_Process	20201030093145.232156-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	igfxCUIService.exe	3408	169	312500	igfxCUIService.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	143	3538	5006	2020	1012	2160	2.20341E+12	9172	8	2068480	3408	10	89	13	99	72	1448	0	2	781250	2.2034E+12	10.0.19041	6217728	0	0																																									
svchost.exe	Win32_Process	20201030093145.253080-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3452	263	99375000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	29812	656516	16992	2316	1012	2864	2.2034E+12	8576	8	2371584	3452	10	85	15	87	0	0	0	3	26562500	2.2034E+12	10.0.19041	6959104	0	0																																									
svchost.exe	Win32_Process	20201030093145.253252-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3460	172	57812500	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	55616	2430154	322941	1916	1012	8156	2.20365E+12	28112	8	1961984	3460	10	130	18	511	0	0	0	5	108906250	2.20344E+12	10.0.19041	10047488	0	0																																									
svchost.exe	Win32_Process	20201030093145.479989-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3608	293	57968750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	95365	2866564	20370	3204	1012	3712	2.20342E+12	9300	8	3280896	3608	17	93	34	94	0	0	0	11	52031250	2.2034E+12	10.0.19041	7344128	0	0																																									
svchost.exe	Win32_Process	20201030093145.586320-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3652	622	2982968750	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	44796	1397312	16276	5040	1012	6612	2.20343E+12	14896	8	5160960	3652	15	123	19	124	0	0	0	11	3068125000	2.20342E+12	10.0.19041	14299136	0	0																																									
svchost.exe	Win32_Process	20201030093145.713086-240	Win32_ComputerSystem	LAPTOP-S4JKFBQ4	svchost.exe	3972	346	1926250000	svchost.exe	Win32_OperatingSystem	Microsoft	Windows	10	Pro|C:\WINDOWS|\Device\Harddisk0\Partition3	1122094	58960736	292931	4544	1012	8092	2.20345E+12	11268	8	4653056	3972	15	92	60	112	12	4944	0	11	638593750	2.20341E+12	10.0.19041	8187904	0	0																																									
